Availability Index,,,Date,1/2/26,,2/2/26,,3/2/26,,4/2/26,,5/2/26,,6/2/26,,7/2/26,,8/2/26,,9/2/26,,10/2/26,,11/2/26,,12/2/26,,13/2/26,,14/2/26,,15/2/26,,16/2/26,,17/2/26,,18/2/26,,19/2/26,,20/2/26,,21/2/26,,22/2/26,
1,No Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Minutes Restriction,,Day:,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,
3,Non Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Out - Medical,,Time,Early Practice,,GAME-DAY,,OFF,,Early Practice,,Late Practice,,Early Practice,,GAME-DAY,,OFF,,OFF,,Double Day,,Late Practice,,Late Practice,,Early Practice,,Late Practice,,Early Practice,,GAME-DAY,,Late Practice,,Late Practice,,GAME-DAY,,OFF,,Late Practice,,GAME-DAY,
5,Out - Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density of Practice (%) Scale,,,Practice Time (MIN),75 Min,,45 MIN Shootaround,,X Min,,60 Min,,80 Min,,85 Min,,45 MIN Shootaround,,X Min,,X Min,,60 Min + 75 Min,,85 Min,,75 Min,,75 Min,,85 Min,,80 Min,,45 MIN Shootaround,,75 Min,,80 Min,,45 MIN Shootaround,,X Min,,80 Min,,45 MIN Shootaround,
Low Intensity,,Under 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moderate Intensity,,20%-25%,Total Available Players:,11 Players,,10 Players,,0 Players,,11 Players,,11 Players,,11 Players,,10 Players,,0 Players,,0 Players,,11 Players,,10 Players,,10 Players,,11 Players,,11 Players,,10 Players,,9 Players,,10 Players,,10 Players,,10 Players,,2 Players,,10 Players,,10 Players,
High Intensity,,25%-30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very High Intensity,,Above 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Above 90 Min = High Volume),,,,Warm-Up,Warm-Up,Warm-Up,GAME-DAY,OFF,OFF,Q1,"- BW Strength
- Dynamic
Streching",Warm-Up,Warm-Up,Warm-Up,Warm-Up,Warm-Up,GAME-DAY,OFF,OFF,OFF,OFF,Q1,"- Streching
on Mats
- Dynamic
Streching",Warm-Up,Warm-Up,Warm-Up,Warm-Up,Q1,"- Dynamic
Streching
- Hand/Eye
COO (Tennis)
- Ladders",Warm-Up,Warm-Up,Warm-Up,Warm-Up,Warm-Up,GAME-DAY,Q2,"- BW Strength
- Dynamic
Streching - Ladders",Warm-Up,Warm-Up,Warm-Up,GAME-DAY,OFF,OFF,Warm-Up,Warm-Up,Warm-Up,GAME-DAY
Intensity & Volume Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,Low Volume & Low Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,High Volume & Low Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,Low Volume & High Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,Moderate Volume & High Intensity,,S & C Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Athlete's Name,,,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes,Availability,S & C Notes
1,Jordon Varnado,,,3,,4,,OFF,,3,,3,,3,108.4 KG,4,,OFF,,OFF,,3,,3,,3,107.9 KG,3,,3,,3,,4,,3,,3,,4,,1,,3,,4,
2,Denver Jones,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
5,Daeshon Francis,,,1,,1,,OFF,,1,,1,,1,,5,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,5,,1,,1,,5,,1,,1,,1,
8,Frederic Bourdillon,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
11,Omer Sadeh,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
13,Kai Obziler,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,4,,4,,1,,1,,4,,5,,4,,4,,1,,OFF,,4,,1,
15,Shalev Lugashi,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
21,Max Heidegger,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
30,DJ Barnes (149.6 KG),,,1,,5,,OFF,,1,148.4 KG,1,,1,147.3 KG,1,,OFF,,OFF,,1,,1,,1,146 KG,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
32,Chinanu Onuaku,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,119 KG,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,5,
35,Noah Carter ,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,108.8 KG,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
44,Elijah Stewart,,,1,,1,,OFF,,1,,1,,1,,1,,OFF,,OFF,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,OFF,,1,,1,
