Availability Index,,,Date,10/1/26,,11/1/26,,12/1/26,,13/1/26,,14/1/26,,15/1/26,,16/1/26,,17/1/26,,18/1/26,,19/1/26,,20/1/26,,21/1/26,,22/1/26,,23/1/26,,24/1/26,,25/1/26,,26/1/26,,27/1/26,,28/1/26,,29/1/26,,30/1/26,,31/1/26,
1,No Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Minutes Restriction,,Day:,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
3,Non Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Out - Medical,,Time,GAME-DAY,,OFF,,Early Practice,,Late Practice,,Early Practice,,Late Practice,,Early Practice,,Late Practice,,Early Practice,,GAME-DAY,,OFF,,Early Practice,,Late Practice,,Early Practice,,Late Practice,,Early Practice,,GAME-DAY,,OFF,,Early Practice,,Late Practice,,Early Practice,,Late Practice,
5,Out - Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density of Practice (%) Scale,,,Practice Time (MIN),45 MIN Shootaround,,X Min,,90 Min,,75 Min,,75 Min,,85 Min,,60 Min,,85 Min,,75 Min,,45 MIN Shootaround,,X Min,,30/60 Min,,70 Min,,75 Min,,75 Min,,70 Min,,45 MIN Shootaround,,X Min,,75 Min,,80 Min,,75 Min,,85 Min,
Low Intensity,,Under 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moderate Intensity,,20%-25%,Total Available Players:,10 Players,,0 Players,,8 Players,,9 Players,,6 Players,,9 Players,,9 Players,,10 Players,,9 Players,,9 Players,,9 Players,,10 Players,,10 Players,,10 Players,,10 Players,,10 Players,,9 Players,,0 Players,,9 Players,,10 Players,,10 Players,,10 Players,
High Intensity,,25%-30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very High Intensity,,Above 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
